student_id,age,gender,socioeconomic_status,attendance_rate,avg_grade,assignment_submission_rate,lms_logins_per_week,participation_score,disciplinary_incidents,financial_aid,first_generation,distance_from_school_km,previous_failures,dropout
STU-00001,17,Female,Medium,74.4,74.69,0.738,8,3.77,0,1,1,3.32,2,0
STU-00002,23,Male,Medium,92.84,68.76,0.576,10,3.29,0,0,0,4.13,1,0
STU-00003,23,Male,High,100.0,94.48,0.832,11,6.08,0,0,0,5.47,0,0
STU-00004,20,Female,Medium,80.67,75.85,0.82,10,3.94,2,0,0,13.76,4,0
STU-00005,22,Female,Low,81.04,81.14,0.844,8,3.88,2,1,1,2.24,1,0
STU-00006,20,Female,High,71.53,46.85,0.588,8,4.31,0,0,0,25.84,3,0
STU-00007,21,Male,Medium,74.09,52.98,0.5,7,3.8,1,1,0,12.41,0,0
STU-00008,18,Male,Medium,70.18,81.61,0.911,9,6.57,3,0,0,2.96,1,0
STU-00009,22,Male,Low,81.44,64.1,0.639,8,6.14,1,1,1,18.12,0,0
STU-00010,17,Female,Medium,78.25,57.9,0.549,8,4.17,4,1,0,11.16,1,0
STU-00011,17,Female,Medium,86.1,74.3,0.594,8,5.28,2,0,0,4.52,2,0
STU-00012,20,Male,High,73.44,74.42,0.476,8,1.66,1,0,1,12.55,0,0
STU-00013,20,Female,Medium,80.16,71.9,0.518,8,5.04,2,0,0,3.12,2,0
STU-00014,21,Male,High,72.76,76.36,0.77,7,5.11,3,0,0,7.66,2,0
STU-00015,19,Female,Medium,84.06,78.68,0.655,6,6.02,2,1,0,10.52,5,0
STU-00016,24,Female,Low,62.04,64.78,0.446,9,2.59,4,0,1,3.24,4,1
STU-00017,21,Male,Medium,83.67,88.64,0.8,11,4.71,2,0,0,8.35,0,0
STU-00018,21,Male,Low,76.93,68.99,0.713,7,4.14,3,0,0,9.77,0,0
STU-00019,21,Male,High,85.24,77.23,0.801,11,7.21,0,0,0,5.39,2,0
STU-00020,23,Female,Medium,63.83,73.66,0.717,6,4.36,0,1,0,4.2,2,0
STU-00021,22,Male,Medium,89.2,83.34,0.797,9,3.27,1,1,1,7.87,0,0
